Lambda (nm)	qext	qsca	qabs
0.1879	2.799819390264264	1.4661193230684495	1.3337000671958144
0.1916	2.8160456209598097	1.470145457116285	1.3459001638435246
0.1953	2.8346313649949755	1.479695574961681	1.3549357900332946
0.1993	2.852243332943566	1.4885116020314528	1.3637317309121133
0.2033	2.868803656443561	1.497882484781006	1.3709211716625551
0.2073	2.8804815505941455	1.5001977128815207	1.3802838377126248
0.2119	2.892724467792328	1.5027596748774683	1.3899647929148595
0.2164	2.903926129302453	1.5040783066006884	1.3998478227017646
0.2214	2.912071093595703	1.4995591766625682	1.4125119169331346
0.2262	2.920083557643738	1.4960147150403238	1.424068842603414
0.2313	2.9335556774922744	1.4982860314120383	1.435269646080236
0.2371	2.947947201982658	1.5009332609272685	1.4470139410553893
0.2426	2.958849234262645	1.5008882295444275	1.4579610047182177
0.249	2.970597242743056	1.5016700151461329	1.4689272275969232
0.2551	2.9751008763831317	1.4963042640826663	1.4787966123004654
0.2616	2.9732162934599717	1.4841905500705288	1.489025743389443
0.2689	2.9655593817671693	1.4653933718689265	1.5001660098982428
0.2761	2.9449170728071548	1.4307459064959913	1.5141711663111634
0.2844	2.9116283185424323	1.3784161345921022	1.53321218395033
0.2924	2.8480912744910225	1.295316378840325	1.5527748956506975
0.3009	2.678645097898316	1.120947908337589	1.557697189560727
0.3107	2.0739075233489777	0.6819048544757439	1.3920026688732339
0.3204	1.3901557117361933	0.4135496992864614	0.976606012449732
0.3315	2.2149590314897174	1.6869368348043585	0.5280221966853589
0.3425	3.083976764260693	2.3599320556383274	0.7240447086223654
0.3542	4.902442786362986	3.5490439612455447	1.3533988251174414
0.3679	4.913405395269261	4.355084954663436	0.5583204406058249
0.3815	5.770716462564469	5.398780336711396	0.3719361258530727
0.3974	5.842491906242425	5.509852304667241	0.3326396015751838
0.4133	4.899260477733315	4.671142972634923	0.22811750509839168
0.4305	4.14687589896677	4.025191393729914	0.12168450523685603
0.4509	3.783467689456519	3.6993748322666264	0.08409285718989246
0.4714	3.6950863428761003	3.6157388714732517	0.07934747140284859
0.4959	3.759280757775864	3.6937865723279275	0.06549418544793628
0.5209	3.8661924095134936	3.8087052715697114	0.05748713794378224
0.5486	3.94912008767739	3.88753782385256	0.06158226382483001
0.5821	3.9741274441203656	3.927062973296658	0.04706447082370735
0.6168	3.835254844651746	3.78479367007934	0.05046117457240573
0.6595	3.4865760894501294	3.4501783205403744	0.03639776890975499
0.7045	2.9701326284240457	2.9461131445808113	0.02401948384323438
0.756	2.351211241901223	2.337166188778967	0.014045053122256235
0.8211	1.6959286496612505	1.6822996586368253	0.013628991024425163
0.892	1.1701524226011866	1.1605994609192922	0.009552961681894345
0.984	0.7436079709764174	0.7371089630803334	0.006499007896084041
1.088	0.4646484870155532	0.46021470899612515	0.00443377801942807
1.216	0.2812827439828599	0.27459092525511	0.006691818727749932
1.393	0.1550599042333825	0.14865545740636796	0.006404446827014548
1.61	0.08327081391207423	0.07843983163883751	0.0048309822732367225
1.937	0.04039286688953102	0.03544441173624937	0.004948455153281649
