Lambda (nm)	qext	qsca	qabs
0.15	3.019572122803306	2.6454025322424606	0.3741695905608453
0.155	3.1700933500937185	2.7390253212088207	0.4310680288848978
0.16	3.4088370497121523	2.8641028826400596	0.5447341670720927
0.165	3.5591563862437527	2.999633091765284	0.5595232944784687
0.17	3.749558831416411	3.1797915013248903	0.5697673300915209
0.175	4.068374572400292	3.3608908192847804	0.7074837531155116
0.18	4.108482562879856	3.4640614308865945	0.6444211319932616
0.185	3.9966315357702475	3.4851872670470403	0.5114442687232073
0.19	4.135696097183446	3.6577688832482025	0.47792721393524396
0.195	4.353955966438442	3.833812312273421	0.5201436541650213
0.2	4.491689377661145	3.949153158964866	0.542536218696279
0.205	4.40199769312747	3.891310516750894	0.5106871763765759
0.21	4.19601738656742	3.754605213087027	0.4414121734803933
0.215	4.0528318284249	3.6784888250857666	0.37434300333913306
0.22	4.028649238545487	3.69764012416827	0.3310091143772169
0.225	4.07443946010812	3.7576978367869636	0.31674162332115685
0.23	4.146239522722547	3.8295608517609927	0.3166786709615539
0.235	4.206751200781032	3.884080685402948	0.3226705153780842
0.24	4.23186597538498	3.9053905373833775	0.3264754380016024
0.245	4.195436791793998	3.8650814577344175	0.33035533405958084
0.25	4.116139654835306	3.79777242891577	0.31836722591953626
0.255	3.995820769389036	3.6844550518902066	0.3113657174988296
0.26	3.8698057221056055	3.57997651710337	0.2898292050022353
0.265	3.7538587780300183	3.4724987806726157	0.2813599973574026
0.27	3.6699593548252465	3.40700869069775	0.26295066412749657
0.275	3.61085123830518	3.3585106826495794	0.25234055565560043
0.28	3.580830606739764	3.337678463152511	0.243152143587253
0.285	3.5736474686866493	3.3351198185739968	0.23852765011265253
0.29	3.579824540081091	3.3494070542298404	0.23041748585125044
0.295	3.5944263142134107	3.364306466885432	0.23011984732797863
0.3	3.6145308054104395	3.383858647900775	0.23067215750966463
0.305	3.636846329907737	3.4068887011030293	0.2299576288047076
0.31	3.6547791687291284	3.4214736112005033	0.23330555752862514
0.315	3.6702628768920684	3.4355671199531344	0.23469575693893407
0.32	3.6739670349726143	3.4314538311425955	0.24251320383001884
0.325	3.6706859322588503	3.4264474590525777	0.24423847320627257
0.33	3.656225004300994	3.4108837241079035	0.24534128019309032
0.335	3.6317524263302428	3.38571207777978	0.24604034855046297
0.34	3.597863595350845	3.351354747695883	0.24650884765496173
0.345	3.5552122756406144	3.3095351355194014	0.245677140121213
0.35	3.506008899612817	3.2614565214285163	0.24455237818430087
0.355	3.451855839641887	3.2092680063734442	0.24258783326844258
0.36	3.3946739592160675	3.1547398592839238	0.23993409993214376
0.365	3.3370414726185493	3.1001256053212827	0.23691586729726666
0.37	3.2791188984667117	3.0456492455924247	0.233469652874287
0.375	3.224024925946468	2.994023849571514	0.23000107637495404
0.38	3.1726434516258752	2.9464942485560486	0.22614920306982667
0.385	3.1262352273842393	2.903460006573359	0.2227752208108802
0.39	3.084777882110056	2.8657667341766557	0.21901114793340026
0.395	3.049034594848527	2.8331416628533086	0.21589293199521853
0.4	3.0184398135852737	2.8056396545174462	0.21280015906782745
0.405	2.9939284008223637	2.7838762355550943	0.21005216526726933
0.41	2.974554982572452	2.766714618931331	0.20784036364112124
0.415	2.9603940844593892	2.7544027490604712	0.205991335398918
0.42	2.950476019064914	2.746428456249428	0.2040475628154863
0.425	2.944844533616697	2.7419177287759045	0.2029268048407924
0.43	2.9430934201572128	2.7412072010413615	0.20188621911585125
0.435	2.9449453392372757	2.743609057838695	0.20133628139858084
0.44	2.949554772237534	2.7488183226270837	0.20073644961045023
0.445	2.956862821653809	2.755901823257734	0.20096099839607495
0.45	2.966433425750728	2.7652774275340275	0.20115599821670038
0.455	2.9777639197845547	2.7763135051370242	0.20145041464753044
0.46	2.9904831189714707	2.788050788506533	0.20243233046493758
0.465	3.0043118223607643	2.800917599711089	0.20339422264967544
0.47	3.019197611384279	2.8151025851995914	0.20409502618468744
0.475	3.034685985642067	2.8286509342692425	0.20603505137282463
0.48	3.0503901572014773	2.8430675662612894	0.2073225909401879
0.485	3.0663846296902637	2.8570199202458273	0.20936470944443641
0.49	3.082186097672485	2.8710313054940206	0.21115479217846422
0.495	3.097739081501698	2.884651843296228	0.21308723820547026
0.5	3.112502764281716	2.897313196793978	0.21518956748773777
0.505	3.1265869829616295	2.9093541528565607	0.21723283010506877
0.51	3.1399528442058653	2.920343839843459	0.21960900436240616
0.515	3.1522484352812263	2.929842468827276	0.2224059664539504
0.52	3.1632302055499126	2.938471226106552	0.22475897944336065
0.525	3.173315241676634	2.946060819434011	0.22725442224262293
0.53	3.181679085754274	2.9518173359172644	0.22986174983700947
0.535	3.188827804770211	2.9562570505795205	0.23257075419069073
0.54	3.1942516206015594	2.95908887077575	0.23516274982580931
0.545	3.1980043333054105	2.9600355616208587	0.23796877168455177
0.55	3.199948266215157	2.9595223579826557	0.24042590823250132
0.555	3.1999644334250448	2.956708734516082	0.2432556989089627
0.56	3.1981533578909147	2.9516443295050085	0.24650902838590616
0.565	3.1948408065675915	2.9454188700937736	0.24942193647381794
0.57	3.1895684055811424	2.9375706999661606	0.2519977056149818
0.575	3.182098843068216	2.9273806736715313	0.2547181693966847
0.58	3.172670466461155	2.915231697482707	0.2574387689784481
0.585	3.1616811351499843	2.9017988804226365	0.25988225472734783
0.59	3.1485070506142434	2.886235843587788	0.26227120702645523
0.595	3.133793339741166	2.8686615858626103	0.2651317538785558
0.6	3.1168253032445623	2.8495796171577368	0.26724568608682553
0.605	3.0986422667552103	2.828535977310039	0.2701062894451711
0.61	3.078479166501832	2.806159661053301	0.272319505448531
0.615	3.0564545631554205	2.781754804112756	0.2746997590426643
0.62	3.0329022930023255	2.7554719389090803	0.27743035409324523
0.625	3.007979867211069	2.7282684928364924	0.2797113743745765
0.63	2.9814788634697154	2.699889417876382	0.2815894455933332
0.635	2.953722317030538	2.6691665123660147	0.2845558046645231
0.64	2.924361115159564	2.63817709537119	0.28618401978837404
0.645	2.8939324474917374	2.6054743783938705	0.28845806909786686
0.65	2.8627107844655626	2.572062321940283	0.2906484625252794
0.655	2.8302559705140213	2.5374888668781903	0.292767103635831
0.66	2.7971081458335316	2.502237525104509	0.2948706207290228
0.665	2.762811333810567	2.4660894284700707	0.29672190534049614
0.67	2.727877062798487	2.4290415060791406	0.2988355567193466
0.675	2.6929602491366267	2.3919855352407624	0.3009747138958643
0.68	2.6563716949741645	2.354055561491513	0.3023161334826514
0.685	2.619819114048479	2.3158140751448824	0.3040050389035964
0.69	2.5831409008761845	2.2767407142057503	0.3064001866704342
0.695	2.5461460607261497	2.237740329668296	0.30840573105785385
0.7	2.508789447605865	2.1988685094628018	0.3099209381430632
0.705	2.4713612426606386	2.159371465201596	0.31198977745904255
0.71	2.4340895421582	2.120192868885422	0.3138966732727777
